rank,story_id,title,main_category,subcategory,book_title,author,version,readiness,hook,emotion,share,save,voice,arc,video,trust,total,decision,recommended_format,reason,fact_check_note
1,1410,Varsayımda bulunmamak — üçüncü anlaşma,Felsefe,Felsefe,Dört Anlaşma,Don Miguel Ruiz,1,Temel,15,9,14,14,10,10,19,4,95,Öncelikli video,Reel + Carousel,"Partnerin öfkesi sanılırken migren çıkması kusursuz ters köşe; “sor, varsayma” doğrudan uygulanıyor.",Kaynak kontrolü önerilir
2,1534,Havacılıktan öğrenmek — başarı kültürü vs öğrenme kültürü,Felsefe,Öğrenme,Black Box Thinking,Matthew Syed,1,Temel,14,9,14,13,9,10,20,5,94,Öncelikli video,Reel + Carousel,"Tenerife faciasından doğan kara kutu kültürü yüksek gerilim, kayıp ve net dersle olağanüstü güçlü anlatı sunuyor.",Standart doğrulama
3,1483,Columbia uzay mekiği ve sessizlik bedeli,Liderlik,Yönetim,The Fearless Organization,Amy Edmondson,1,Temel,14,9,14,13,9,10,19,5,93,Öncelikli video,Reel + Carousel,"Columbia faciasındaki sessizlik yüksek risk, insan hatası ve acı sonuçla son derece güçlü bir liderlik videosu.",Standart doğrulama
4,1339,Huffington'ın çöküşü,Sağlık,Sağlık,Uyku Devrimi,Arianna Huffington,1,Temel,15,9,13,13,9,10,19,4,92,Öncelikli video,Reel + Carousel,"Masada bayılma anı, “bu başarı mı?” sorusu ve yaşam dönüşü çok güçlü bir kısa video omurgası kuruyor.",Kaynak kontrolü önerilir
5,1369,FBI rehine müzakeresi,İletişim,Müzakere,İnsanı Anlamak,Chris Voss,1,Temel,15,9,13,13,9,10,19,4,92,Öncelikli video,Reel + Carousel,"Rehine krizinde mantığın çökmesi ve taktiksel empatiye dönüş yüksek gerilimli, uygulanabilir bir öykü.",Kaynak kontrolü önerilir
6,1456,Phantom limb — hayalet uzuv ve beynin gerçeği,Psikoloji,Nörobilim,Beynin Sırları,V.S. Ramachandran,1,Temel,14,9,14,13,9,10,18,5,92,Öncelikli video,Reel + Carousel,"Fantom ağrı ve ayna kutusu şaşırtıcı dönüşüm, somut nesne ve güçlü çözüm anıyla kusursuza yakın video verir.",Standart doğrulama
7,1430,Değişim istemek ile değişmek istemek,Psikoloji,Psikoloji,Terapi,Lori Gottlieb,1,Temel,15,9,13,13,10,10,18,4,92,Öncelikli video,Reel + Carousel,"Değişim isteyen hastanın aslında çevresini değiştirmek istemesi güçlü, tanıdık ve konuşma açan bir ayna.",Kaynak kontrolü önerilir
8,1504,Mevzisel müzakere tuzağı,İletişim,Müzakere,Müzakerede Evet Almak,Roger Fisher,1,Temel,14,8,14,15,9,10,17,5,92,Öncelikli video,Reel + Carousel,"İki kardeş ve tek portakal, pozisyon-çıkar ayrımını tek sahnede öğretir; son derece görsel ve kaydedilebilir.",Standart doğrulama
9,1701,Basit Bir Kontrol Listesi Kaç Hayat Kurtarabilir?,Sağlık,Sağlık,The Checklist Manifesto,Atul Gawande,2,Zengin,14,9,13,13,9,10,18,5,91,Öncelikli video,Reel + Carousel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; paylaşılabilirlik yeterli.,Standart doğrulama
10,1472,Uyku ve yaratıcı problem çözme,Verimlilik,Verimlilik,Dinlenmenin Gücü,Alex Soojung-Kim Pang,1,Temel,14,9,14,13,9,10,17,5,91,Öncelikli video,Reel + Carousel,"Loewi'nin rüyada bulduğu deney net gerilim, keşif ve kanıt içeriyor; kısa video anlatısı olağanüstü güçlü.",Standart doğrulama
11,1547,Moore Yasası ve bileşik büyümenin kavranmayan gücü,Bilim,Teknoloji,İkinci Makine Çağı,Erik Brynjolfsson,1,Temel,14,9,14,13,9,10,17,5,91,Öncelikli video,Reel + Carousel,Satranç tahtasındaki pirinç taneleri üstel büyümeyi gözle görünür kılıyor; finaldeki dev sayı paylaşımı tetikler.,Standart doğrulama
12,1161,İtfaiyecinin ölümcül sezgisi,Psikoloji,Psikoloji,Sezgi Gücü,Malcolm Gladwell,1,Temel,15,10,13,13,10,8,17,5,91,Öncelikli video,Reel + Carousel,"Sessiz yangın, ani tahliye ve çöken zemin kusursuz gerilim; sezginin deneyim sınırını da doğru kuruyor.",Standart doğrulama
13,1205,Hazinenin geri dönüşü,Büyüme,İlham,Kaybedilen Cennet,Paulo Coelho,1,Temel,15,10,13,13,10,8,17,5,91,Öncelikli video,Reel + Carousel,"Piramitlerde aranan hazinenin başlangıç noktasında çıkması eksiksiz, sinematik ve duygusal bir anlatı yayı.",Standart doğrulama
14,1219,Harvard'ın 85 yıllık mutluluk araştırması,Psikoloji,Mutluluk,The Good Life,Robert Waldinger,1,Temel,15,10,13,15,10,8,17,3,91,Öncelikli video,Reel + Carousel,85 yıllık araştırmanın ilişkiler sonucu evrensel ve güçlü; tek gerçek belirleyici ifadesi fazla mutlak.,Kaynak kontrolü şart
15,1118,H.M.'nin sonsuz şimdi'si,Psikoloji,Nörobilim,Beyin Fırtınası,David Eagleman,1,Temel,15,10,13,14,10,8,16,5,91,Öncelikli video,Reel + Carousel,Her gün yeniden tanışan H.M. sahnesi hem yürek burkucu hem bilimsel; gelecek-hafıza bağı unutulmuyor.,Standart doğrulama
16,1720,24 Reçel Neden 6 Reçelden Daha Az Sattı?,Psikoloji,Psikoloji,The Paradox of Choice,Barry Schwartz,2,Zengin,15,7,14,13,9,7,20,5,90,Öncelikli video,Reel + Carousel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü geliştirilmeli.,Standart doğrulama
17,1788,Aslandan Kaçan Zebra,Sağlık,Sağlık,Why Zebras Don't Get Ulcers,Robert M. Sapolsky,F6,Zengin,14,10,15,11,10,8,19,3,90,Öncelikli video,Soru odaklı Reel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü yeterli.,Kaynak kontrolü şart
18,1694,Seabiscuit Büyük Buhran'a Nasıl Umut Oldu?,Tarih,Tarih,Seabiscuit,Laura Hillenbrand,2,Zengin,13,10,14,11,9,9,19,5,90,Öncelikli video,Soru odaklı Reel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; ilk saniye etkisi yeterli.,Standart doğrulama
19,1284,Hazine hep başladığın yerde,Büyüme,İlham,Kaybedilen Cennet,Paulo Coelho,1,Temel,15,9,13,11,9,9,19,5,90,Öncelikli video,Soru odaklı Reel,"Hazinenin başlangıçta çıkması güçlü ters köşe, şiirsel sonuç ve kusursuz kısa video kurgusu sağlıyor.",Standart doğrulama
